,Title,1st_topic,1st_topic_percentage,2nd_topic,2nd_topic_percentage
661,"Sensitive and Specific Detection of SARS-CoV-2 Antibodies Using a High-Throughput, Fully Automated Liquid-Handling Robotic System",2.0,37.73,1.0,22.18
662,International electronic health record-derived COVID-19 clinical course profiles: the 4CE consortium,5.0,19.44,3.0,15.5
663,The introduction of population migration to SEIAR for COVID-19 epidemic modeling with an efficient intervention strategy,4.0,47.39,6.0,11.87
664,Who do you trust? The digital destruction of shared situational awareness and the COVID-19 infodemic,6.0,37.1,5.0,18.81
665,A Novel Medical Diagnosis model for COVID-19 infection detection based on Deep Features and Bayesian Optimization,1.0,55.01,4.0,13.34
666,"Impact of COVID-19 pandemic on information management research and practice: Transforming education, work and life",6.0,32.18,0.0,17.98
667,The role of IS in the covid-19 pandemic: A liquid-modern perspective,6.0,34.93,5.0,19.18
668,Impacts of COVID-19: A research agenda to support people in their fight,6.0,40.04,0.0,14.04
669,Will COVID-19 be the tipping point for the Intelligent Automation of work? A review of the debate and implications for research,6.0,36.01,3.0,23.61
670,Estimating the efficacy of symptom-based screening for COVID-19,1.0,25.6,2.0,25.39
671,Normalising the “new normal”: Changing tech-driven work practices under pandemic time pressure,6.0,32.53,0.0,22.69
672,Network-inference-based prediction of the COVID-19 epidemic outbreak in the Chinese province Hubei,4.0,34.82,1.0,17.95
673,From fighting COVID-19 pandemic to tackling sustainable development goals: An opportunity for responsible information systems research,6.0,37.15,3.0,11.72
674,"Disrupted classes, undisrupted learning during COVID-19 outbreak in China: application of open educational practices and resources",0.0,38.43,5.0,13.99
675,Contact tracing apps and values dilemmas: A privacy paradox in a neo-liberal world,3.0,30.38,6.0,23.34
676,The use of digital technologies by small and medium enterprises during COVID-19: Implications for theory and practice,6.0,33.26,1.0,13.6
677,"COVID-19, digital privacy, and the social limits on data-focused public health responses",6.0,24.78,3.0,23.18
678,Information management research and practice in the post-COVID-19 world,6.0,39.81,0.0,16.3
679,A machine learning model to identify early stage symptoms of SARS-Cov-2 infected patients,1.0,28.67,4.0,22.29
680,Digital transformation of everyday life – How COVID-19 pandemic transformed the basic education of the young generation and why information management research should care?,6.0,37.37,0.0,27.68
681,Inside out and outside in: How the COVID-19 pandemic affects self-disclosure on social media,6.0,37.27,0.0,16.24
682,Retweets of officials’ alarming vs reassuring messages during the COVID-19 pandemic: Implications for crisis management,5.0,29.17,6.0,20.39
683,Agile and adaptive governance in crisis response: Lessons from the COVID-19 pandemic,6.0,28.4,5.0,15.68
684,Preventive healthcare policies in the US: solutions for disease management using Big Data Analytics,4.0,24.76,5.0,20.0
685,Considerations for development and use of AI in response to COVID-19,3.0,22.69,6.0,22.17
686,Impact of digital surge during Covid-19 pandemic: A viewpoint on research and practice,6.0,47.53,0.0,13.04
687,Advice from a systems-biology model of the corona epidemics,4.0,42.87,2.0,14.55
688,The serendipitous impact of COVID-19 pandemic: A rare opportunity for research and practice,6.0,35.89,2.0,15.04
689,Locked-down digital work,6.0,39.35,4.0,11.76
690,A Chemographic Audit of anti-Coronavirus Structure-activity Information from Public Databases (ChEMBL),2.0,45.13,5.0,12.71
691,Global health crises are also information crises: A call to action,6.0,28.26,5.0,20.85
692,The COVID-19 impacts on contextual privacy behavior in Kuwait,6.0,30.15,3.0,22.29
693,ReSCo-CC: Unsupervised Identification of Key Disinformation Sentences,5.0,30.14,1.0,19.55
694,Managing Learning Resource Metadata for Secondary Education,0.0,30.36,5.0,18.79
695,Gamification as an enabler of quality distant education: The need for guiding ethical principles towards an education for a global society leaving no one behind,0.0,24.74,6.0,22.62
696,Social-distance aware data management for mobile computing,3.0,24.28,6.0,19.29
697,Analyzing YouTube Videos Shared on Whatsapp in the Early COVID-19 Crisis,6.0,24.88,5.0,21.68
698,Furrow Mapping of Sugarcane Billet Density Using Deep Learning and Object Detection,1.0,24.77,5.0,21.03
699,Method for intelligent judgment on the resumption of work and production,6.0,26.89,5.0,24.21
700,Production Resumption Analysis for Different Industries by K-means Clustering,6.0,32.52,5.0,22.32
701,Simulate the number of confirmed COVID-19 Cases in 9 Countries from January to June 2020 based on 3 Models,4.0,52.45,5.0,9.04
702,The Impact Analysis of COVID-19 on China Various Industries Using Crawler Technology and Data Visualization Technology,6.0,30.48,5.0,21.34
703,IoT based medical assistant for efficient monitoring of patients in response to COVID-19,3.0,50.01,4.0,12.08
704,An extensive analysis of the effect of social distancing in transmission of COVID-19 in Bangladesh by the aid of a modified SEIRD Model,4.0,43.77,5.0,13.87
705,A multi agent broker framework and decision support for enhanced cloud computing discovery,3.0,31.03,6.0,15.83
706,MOOC's Student Results Classification by Comparing PNN and other Classifiers with Features Selection,0.0,28.04,1.0,27.06
707,COVID-19 Impact on E-Commerce in UAE,6.0,30.32,2.0,14.07
708,Students' Perception of Online Assessment during the COVID-19 Pandemic: The Case of Undergraduate Students in the UAE,0.0,42.99,6.0,12.41
709,An analytical study of student satisfaction with the Statistics courses in e-learning as a new experience after Covid-19 at Al Ain University,0.0,35.96,6.0,16.59
710,Applicable strategy to choose and deploy a MOOC platform with multilingual AQG feature,0.0,30.75,5.0,19.17
711,Research on Usability of Digital Interface of Sports Events-Taking PAGO APP as an Example,6.0,28.75,0.0,18.5
712,Pilot Study of Trans-oral Robotic-Assisted Needle Direct Tracheostomy Puncture in Patients Requiring Prolonged Mechanical Ventilation,3.0,25.45,2.0,17.94
713,On Rearranging Physical Spaces for Enhancing Social Distancing Measures to Combat the COVID-19 Infection Rates,3.0,35.54,6.0,21.11
714,COVID-19 Tracer: Towards Low-cost Passive Close-contacts Searching,3.0,26.8,5.0,16.79
715,An Optimisation Model for Designing Social Distancing Enhanced Physical Spaces,3.0,36.26,4.0,13.57
716,Using Dual-use Electronic Lectures in E-learning: An Empirical Study of Teaching and Learning Mathematics at Vietnamese High Schools,0.0,37.29,2.0,11.97
717,The impact of COVID 19 on the banking and financial market in Vietnam: Difficulties and proposed solutions,6.0,35.73,2.0,13.93
718,ResUHUrge: A Low Cost and Fully Functional Ventilator Indicated for Application in COVID-19 Patients,3.0,31.3,2.0,17.21
719,SmartGate system: Automating the detection and control of COVID-19,3.0,29.91,1.0,16.79
720,Human face recognition and temperature measurement based on deep learning for covid-19 quarantine checkpoint,1.0,31.37,3.0,30.09
721,Critical and prospective analysis of online education in pandemic and post-pandemic contexts: Digital tools and resources to support teaching in synchronous and asynchronous learning modalities [Análisis crítico y prospectivo de la educación en línea en contextos pandémicos y pospandémicos: herramientas y recursos digitales para apoyar la enseñanza en modalidades de aprendizaje sincrónico y asincrónico],0.0,42.17,6.0,15.23
722,A Machine Learning Approach to Predicting Covid-19 Cases Amongst Suspected Cases and Their Category of Admission,1.0,31.37,4.0,22.01
723,Detecting Masked Faces using Region-based Convolutional Neural Network,1.0,50.44,4.0,9.07
724,Inception C-Net(IC-Net): Altered Inception Module for Detection of Covid-19 and Pneumonia using Chest X-rays,1.0,26.68,3.0,15.87
725,COVID-19 Infection Dynamics for India-Forecasting the Disease using SIR models,4.0,55.75,5.0,9.52
726,COVID 19 Severity of Pneumonia Analysis Using Chest X Rays,1.0,46.24,4.0,11.54
727,Real-time estimation of COVID-19 cases using machine learning and mathematical models-The case of India,4.0,41.33,1.0,17.29
728,Challenges and Implications of Technological Transitions: The Case of Online Examinations in India,0.0,46.97,6.0,14.25
729,Privacy in time of a pandemic,6.0,25.47,3.0,21.95
730,Review on Emerging Internet of Things Technologies to Fight the COVID-19,3.0,40.93,6.0,12.7
731,Prediction of Covid-19 pandemic based on Regression,4.0,28.43,1.0,17.56
732,Real World Solutions for Smart Cities Transportation to be Pandemic Ready,4.0,23.49,3.0,20.35
733,Strategy-oriented digital transformation of logistics enterprises: The roles of artificial intelligence and blockchain,6.0,32.38,3.0,25.53
734,Post study of Blockchain in smart health environment,3.0,40.41,5.0,17.94
735,Digital energy management amid the covid-19 pandemic in mauritius,6.0,28.34,4.0,21.03
736,Phylogenomics for Tracking the Epidemiology of COVID-19: The Genomic Data Gap for the African Continent,2.0,27.86,5.0,19.74
737,Accurate Prediction of COVID-19 (+) Using AI Deep VGG16 Model,1.0,48.78,3.0,10.64
738,An Exploration of Machine Learning Models to Forecast the Unemployment Rate of South Africa: A Univariate Approach,4.0,35.55,1.0,18.98
739,Estimating Student Learning Affect Using Facial Emotions ∗,0.0,31.54,5.0,17.3
740,Post COVID-19 higher education empowered by virtual worlds and applications,0.0,44.83,6.0,13.82
741,Visual Analysis of COVID-19 Trends,5.0,28.62,4.0,19.94
742,Promoting collaborative learning through vr technologies in the era of COVID-19,0.0,35.61,6.0,14.11
743,Effectiveness of Immersive VR in STEM Education,0.0,41.01,2.0,12.16
744,Data analysis of novel coronavirus based on multiple factors,4.0,30.17,5.0,16.3
745,Mobile Augmented Reality (MAR) in Distance Learning: Present and Future,0.0,38.6,3.0,17.54
746,Deep Learning Methods for Virus Identification from Digital Images,1.0,40.64,2.0,18.22
747,Business Process Modeling Notation Extension for Real Time Handling - Application to Novel Coronavirus (2019-nCoV) management process,3.0,28.17,5.0,16.12
748,Detection of CT - Scan Lungs COVID-19 Image Using Convolutional Neural Network and CLAHE,1.0,54.11,3.0,10.11
749,KIP Recipient Decision Making for Students Affected by Covid 19 Pendemi Using Fuzzy MADM Method,5.0,21.69,1.0,21.37
750,Normalized Data Technique Performance for Covid-19 Social Assistance Decision Making : *case student's internet data social assistance during learning from home due covid19,1.0,24.11,5.0,20.01
751,Improved Classification of Coronavirus Disease (COVID-19) based on Combination of Texture Features using CT Scan and X-ray Images,1.0,54.72,5.0,9.69
752,Optimized Deep Transfer Learning for Covid-19 Screening using Chest X-Ray Image,1.0,60.28,4.0,9.14
753,Detection of COVID-19 on Chest X-Ray Images using Inverted Residuals Structure-Based Convolutional Neural Networks,1.0,40.34,4.0,17.44
754,Implementation of Stacking Ensemble Learning for Classification of COVID-19 using Image Dataset CT Scan and Lung X-Ray,1.0,53.54,0.0,9.97
755,Assessing User Experience of a Secure Mobile Exam Application using UEQ+,3.0,28.46,0.0,21.42
756,Decision Support System for Selection of Staples Food and Food Commodity Price Prediction Post-COVID-19 Using Simple Additive Weighting and Multiple Linear Regression Methods,1.0,25.87,6.0,24.29
757,Machine Learning Based Decision Support System for Determining the Priority of Covid-19 Patients,1.0,35.83,3.0,16.15
758,Long short-term memory forecasting for COVID19 data,4.0,27.59,5.0,19.68
759,A Techno-Psychological Approach to Control Separation Anxiety in Preschoolers through Mediated Social Touch and Gamification,3.0,21.84,6.0,19.0
760,IVACS: I ntelligent v oice A ssistant for C oronavirus Disease (COVID-19) S elf-Assessment,3.0,19.89,4.0,16.49
761,Internet of things for smart healthcare: A review on a potential iot based system and technologies to control COVID-19 pandemic,3.0,48.07,6.0,12.48
762,Deep learning based mask detection in smart home entries during the epidemic process,3.0,25.96,1.0,18.07
763,Exploring high school students' conceptions of learning english online in a less-developed region in China,0.0,57.81,5.0,9.48
764,Academic support for all students based on reasonable accommodations in emergency situations using AI chatbots,0.0,33.37,6.0,16.74
765,Keep online design thinking alive: A case study in Indonesia,0.0,46.45,6.0,12.96
766,The digital divide among students and support initiatives in the time of Covid-19,0.0,30.38,6.0,24.86
767,Factors affecting Japanese students' fatigue in online foreign language presentation courses during the COVID-19 pandemic,0.0,30.58,6.0,15.58
768,Online student-centered seamless learning course under the COVID-19 pandemic,0.0,40.53,5.0,12.68
769,Building creative confidence during COVID-19: Adapting design thinking for online learning,0.0,31.32,6.0,13.91
770,Comparing effects of brain training and roleplaying games on problem-solving speed,0.0,32.27,6.0,16.1
771,High school students' online engagement during the covid-19 pandemic in China,0.0,51.95,6.0,13.15
772,Fostering emotional well-being and resilience through knowledge building,0.0,36.59,6.0,19.97
773,"Loneliness, boredom and information anxiety on problematic use of social media during the COVID-19 pandemic",6.0,53.84,5.0,11.18
774,Preliminary study on learning assessment by using problem posing in an online course as an alternative method of a conventional examination,0.0,34.96,1.0,20.32
775,Using guided roles in virtual forum as a strategy for empowering students' participation in online classes: A COVID-19 response,0.0,47.15,6.0,15.64
776,"Social-distance education: Struggling with cognition, emotion or motivation during SRL?",0.0,40.32,6.0,18.5
777,Exploring junior high school students' online self-regulation during the Covid-19 pandemic in China,0.0,49.41,6.0,12.53
778,Evaluation of the M-orchestrate app for scaffolding pupils' collaborative science inquiry during COVID-19,0.0,32.46,5.0,13.78
779,"Design and development of ""Slow Art"" experience for Tapaya's earthly desires",0.0,33.14,6.0,14.18
780,"Synchronous online lectures in emergency remote teaching: The role of immersion, social scripts and group awareness",0.0,46.24,6.0,14.73
781,Study on online learning in universities in the epidemic-control context in China,0.0,33.68,4.0,18.69
782,Empowering learning designers through design thinking,0.0,47.82,6.0,14.7
783,High school students' online interaction in a less-developed region in China,0.0,41.95,5.0,13.34
784,An introduction to the Socially Responsible Behaviour through Embodied Thinking (SORBET) Project as a response to COVID-19,0.0,30.88,6.0,19.19
785,Overcoming transactional distance when conducting online classes on programming for business students: A COVID-19 Experience,0.0,48.51,6.0,19.21
786,Connecting teachers during a global crisis: A knowledge building professional development approach to embracing the new normal,0.0,36.8,6.0,19.93
787,Emergency remote teaching in low-resource contexts: How did teachers adapt?,0.0,53.01,3.0,9.8
788,E-book based learning in times of pandemic,0.0,42.78,5.0,12.39
789,Impact of school closure during COVID-19 emergency: A time series analysis of learning logs,0.0,37.5,5.0,15.94
790,Learning dialogues orchestrated with BookRoll: A case study of undergraduate physics class during COVID-19 lockdown,0.0,51.17,6.0,10.17
791,"Peer influence, risk propensity and fear of missing out in sharing misinformation on social media during the COVID-19 pandemic",6.0,46.95,0.0,15.43
792,Distance learning practices: A reflective study,0.0,50.77,5.0,11.56
793,Teacher professional development based on the DigCompEdu framework,0.0,38.27,6.0,13.03
794,Enhancing customers' knowledge and decision making using augmented reality,0.0,24.53,6.0,22.39
795,Professional learning community's views on accessibility during emergency remote teaching,0.0,46.28,6.0,12.76
796,Learning analytics of critical reading activity: Reading Hayavadana during lockdown,0.0,33.85,5.0,24.33
797,Computational thinking and collaborative storytelling in learning Python,0.0,24.33,5.0,18.62
798,Facial Expression Recognition with the advent of face masks,1.0,40.26,5.0,11.75
799,A review of automated diagnosis of COVID-19 based on scanning images,1.0,43.13,6.0,12.93
800,Judging pre-owned-bicycle deals type using machine learning methods,5.0,26.69,3.0,17.8
801,Low-cost robot assistance design for health area to help prevent COVID-19 in Honduras,3.0,44.59,4.0,11.28
802,How Secure is Home: Assessing Human Susceptibility to IoT Threats,3.0,38.23,6.0,19.91
803,Transfer Learning for COVID-19 Pneumonia Detection and Classification in Chest X-ray Images,1.0,51.2,5.0,12.55
804,Usability and Educational Affordance ofWeb 2.0 tools from Teachers' Perspectives,0.0,45.94,5.0,16.03
805,An ensemble forecasting method using univariate time series COVID-19 data,4.0,22.74,1.0,21.99
806,An integrated system for predicting students' academic performance in smart universities,0.0,33.18,1.0,22.22
807,A Probabilistic Logic Program that Predicts COVID-19 Infection and the Possibility a Patient to Recover,4.0,24.06,3.0,15.51
808,Predictions of COVID-19 Infection Severity Based on Co-associations between the SNPs of Co-morbid Diseases and COVID-19 through Machine Learning of Genetic Data,2.0,28.15,1.0,19.74
809,Location and Detection Method of Ring-shaped Culture Carrier for Nucleic Acid Detection,1.0,30.37,2.0,20.11
810,On the Cumulative Number of Confirmed Cases of 2019-nCoV which Based on Data-Driven Concepts,4.0,45.99,5.0,13.96
811,"A thematic analysis of highly retweeted early COVID-19 tweets: consensus, information, dissent and lockdown life",6.0,33.03,5.0,26.66
812,The Development of Mobile-based Application for Mental Health Counseling during the COVID-19 Pandemic,3.0,26.51,6.0,20.22
813,Challenges and Hurdles to E-learning Implementation during COVID-19 Outbreak: A Case of Shaikh Zayed University,0.0,39.07,6.0,13.15
814,The Implication of Accessing Hospital's Social Media and Other Digital Communication Channels during COVID-19 Pandemic,6.0,28.73,5.0,18.35
815,An Outlook of Rarely Used Feature Functions on Zoom Video Conference Technology in Higher Educations,0.0,30.37,3.0,16.68
816,Lexicon Addition Effect on Lexicon-Based of Indonesian Sentiment Analysis on Twitter,5.0,45.26,1.0,15.27
817,Analysis of public complaint reports during the COVID-19 pandemic: A case study of Jakarta's citizen relations management,6.0,24.92,5.0,21.5
818,A study of coping stress strategies on psychological well-being during the COVID-19 pandemic in Jabodetabek Area,6.0,36.63,0.0,14.74
819,Building a smart city 4.0 ecosystem platform: An overview and case study,3.0,25.11,6.0,16.55
820,Comparison of Covid-19 Cases in Indonesia and Other Countries for Prediction Models in Indonesia Using Optimization in SEIR Epidemic Models,4.0,51.02,6.0,13.97
821,A study on the anxiety level of people related to the COVID-19 pandemic death cases: A case study of Jabodetabek region,6.0,24.78,4.0,18.64
822,A computer vision-based object detection and counting for COVID-19 protocol compliance: A case study of Jakarta,1.0,18.5,3.0,18.38
823,Towards a collaborative framework for the large-scale social collaboration: A case of Jakarta's response to the Covid-19 pandemic,6.0,27.26,5.0,17.1
824,Developing the government COVID-19 website: Lessons Learned from Jakarta,5.0,33.11,6.0,18.06
825,Developing Distance Learning Monitoring Dashboard with Google Sheet: An Approach for Flexible and Low-Price Solution in Pandemic Era,0.0,31.4,3.0,20.87
826,Covid-19 Classification Using Deep Learning in Chest X-Ray Images,1.0,43.66,4.0,14.04
827,A Novel Deep Convolutional Neural Network Model for COVID-19 Disease Detection,1.0,42.75,4.0,13.91
828,"Deep learning to distinguish COVID-19 from other lung infections, pleural diseases, and lung tumors",1.0,42.0,2.0,17.93
829,Detection of Covid-19 Patients with Convolutional Neural Network Based Features on Multi-class X-ray Chest Images,1.0,48.76,4.0,12.53
830,Short-Term Forecasting COVID-19 Cases in Turkey Using Long Short-Term Memory Network,4.0,50.39,1.0,15.86
831,Diagnosis of COVID-19 with a Deep Learning Approach on Chest CT Slices,1.0,37.89,4.0,17.29
832,Early pleural effusion detection from respiratory diseases including COVID-19 via deep learning,1.0,47.16,2.0,12.27
833,Mapping the landscape of artificial intelligence applications against COVID-19,6.0,20.25,3.0,16.1
834,Fine-Tuning A Lightweight Convolutional Neural Networks for COVID-19 Diagnosis,1.0,47.02,0.0,11.23
835,An Image Segment-based Classification for Chest X-Ray Image,1.0,46.09,4.0,15.07
836,Computational Modeling and Simulation of Viral Load Kinetics in SARS-CoV-2 Replication,4.0,29.77,2.0,23.44
837,COVID19 Chest X-Ray Classification with Simple Convolutional Neural Network,1.0,33.59,3.0,13.17
838,DLPAlign: A Deep Learning based Progressive Alignment Method for Multiple Protein Sequences,1.0,28.6,2.0,24.8
839,Convolutional neural network for prediction of COVID-19 from chest X-ray images,1.0,39.58,5.0,14.46
840,Covid 19 Prediction from X Ray Images Using Fully Connected Convolutional Neural Network,1.0,40.1,3.0,12.3
841,Detecting Covid-19 in Chest X-Rays using Transfer Learning with VGG16,1.0,52.05,6.0,10.09
842,"FIRST Principles to Design for Online, Synchronous High School CS Teacher Training and Curriculum Co-Design",0.0,56.65,5.0,9.66
843,What people share about the COVID-19 outbreak on Twitter? An exploratory analysis,5.0,41.65,4.0,18.7
844,"The Assessment of the Regional Consumer Needs for Selected Categories of FMCG Products in Russia, Taking into Account the Impact of the COVID-19 Pandemic",6.0,38.19,5.0,21.09
845,Regional Innovation System in Context of Pandemic COVID-19,6.0,28.23,5.0,18.09
846,Assessment of Inclusive Tourism in the Russian Federation in terms of the COVID-19 Pandemic: Current Challenges and Development Prospects,6.0,40.52,0.0,16.18
847,The quality of training future teachers in the context of digitalization of education,0.0,39.62,6.0,21.11
848,Management of Exhibition and Convention Events,5.0,23.95,3.0,22.28
849,The Student's Anxiety and Resilience Research in the Context of the Transition to Distance Learning,0.0,33.11,6.0,20.79
850,Simulation of Autonomous Mobile Robot System for Food Delivery in In-patient Ward with Unity,3.0,40.35,0.0,11.73
851,A Framework of IoT Platform for Autonomous Mobile Robot in Hospital Logistics Applications,3.0,45.77,6.0,11.18
852,Comparison of Face Classification with Single and Multi-model base on CNN,1.0,37.8,4.0,14.78
853,COVID-19: Data Analysis and the situation Prediction Using Machine Learning Based on Bangladesh perspective,4.0,21.88,1.0,21.25
854,Optimum utilization of COVID-19 Testing Kits using the Principles of Computer Science Binary Search Algorithm in Pooled Sample Testing,1.0,32.47,6.0,13.75
855,Economic Evaluation of Quarantine: A Case Study of COVID-19 Pandemic in Belgium,4.0,33.43,6.0,16.5
856,Effects of COVID-19 on the electricity sectors of Ukraine and Hungary: Challenges of energy demand and renewables integration,6.0,36.39,3.0,13.21
857,Mobile Usage during COVID-19,6.0,21.55,3.0,20.62
858,Predicting COVID-19 (Coronavirus Disease) Outbreak Dynamics Using SIR-based Models: Comparative Analysis of SIRD and Weibull-SIRD,4.0,33.24,1.0,17.87
859,Coronavirus (COVID-19) Outbreak Prediction Using Epidemiological Models of Richards Gompertz Logistic Ratkowsky and SIRD,4.0,58.03,5.0,8.77
860,Coronavirus Disease (COVID-19) Global Prediction Using Hybrid Artificial Intelligence Method of ANN Trained with Grey Wolf Optimizer,1.0,33.48,4.0,26.79
861,COVID-19 (Coronavirus Disease) Outbreak Prediction Using a Susceptible-Exposed-Symptomatic Infected-Recovered-Super Spreaders-Asymptomatic Infected-Deceased-Critical (SEIR-PADC) Dynamic Model,4.0,48.13,1.0,12.12
862,Modeling and Sensitivity Analysis of Coronavirus Disease (COVID-19) Outbreak Prediction,4.0,47.55,1.0,15.89
863,Predicting Trends of Coronavirus Disease (COVID-19) Using SIRD and Gaussian-SIRD Models,4.0,42.05,1.0,15.33
864,Rapid COVID-19 Diagnosis Using Deep Learning of the Computerized Tomography Scans,1.0,45.12,2.0,14.44
865,Assessment of sentinel-5P performance for ground-level air quality monitoring: Preparatory experiments over the Covid-19 lockdown period,4.0,26.99,3.0,20.03
866,Cloud-based integration and standardization of address data for disaster management – A South African case study,3.0,27.15,6.0,19.76
867,Teaching geomatics for geohazard mitigation and management in the Covid-19 time,0.0,28.49,3.0,16.98
868,Indoor mobile mapping system and crowd simulation to support school reopening because of Covid-19: A case study,3.0,27.22,5.0,21.08
869,Evaluating the Impact of COVID-19 on Cyberbullying through Bayesian Trend Analysis,5.0,24.04,6.0,23.52
870,Innovation in university libraries in a period of pandemic in the Northern region of Brazil [A inovação nas bibliotecas universitárias em tempo de pandemia da região Norte do Brasil],0.0,29.54,6.0,28.3
871,Web App Design for Surface Plasmon Resonance Signal Processing,5.0,35.75,3.0,19.69
872,Video Analysis on Handwashing Movement for the Completeness Evaluation,1.0,26.55,5.0,15.76
873,Physical Distancing Monitoring with Background Subtraction Methods,1.0,28.63,3.0,21.17
874,On the Comparison of Social Distancing Violation Detectors with Graphical Processing Unit Support,1.0,33.23,3.0,18.59
875,Classifying aggravation status of COVID-19 event from short-text using CNN,1.0,29.52,5.0,16.44
876,Visualization of the distribution of newly infected persons with COVID-19 in the prefecture,5.0,23.22,4.0,18.09
877,Developing an AI IoT application with open software on a RISC-V SoC,3.0,33.46,1.0,18.5
878,Privacy-enabled system based on Elliptic Curve Cryptography to reduce risks of contagion in pandemics,3.0,34.35,4.0,16.71
879,C-HVAC: A practical tool for assessing ventilation capacity for HVAC systems during the COVID-19 Pandemic,3.0,22.79,4.0,16.99
880,Intelligent network topology based post-pandemic reintroduction policies for offices,6.0,25.32,3.0,17.26
881,Impact of COVID-19 on Academic Campus Energy Use,6.0,17.97,5.0,16.62
882,On Upholding Academic Integrity in Online Examinations,0.0,31.96,3.0,15.22
883,A Conceptual Model of Technology Factors to InsurTech Adoption by Value Chain Activities,6.0,39.49,5.0,12.17
884,Feedback of University Students on Online Delivery Learning during the COVID-19 Pandemic Period,0.0,36.73,5.0,14.31
885,Examining Ways COVID-19 Adaptation Derailed our Assumptions about Online Learning,0.0,26.83,6.0,19.44
886,Mobile Cloud Computing Adoption Model as a Feasible Response to Countries' Lockdown as a Result of the COVID-19 Outbreak and beyond,3.0,29.22,6.0,21.37
887,Time Series Analysis for Understanding Local Policy Impact of COVID-19 Cases in East Java,5.0,33.65,4.0,23.7
888,Analysis of Factors Affecting User Intention in Using New Mobile Learning Platform,6.0,22.18,0.0,19.8
889,Expounded Model of Individual and Organizational Impact on myITS Classroom,0.0,26.03,6.0,17.28
890,Information Quality Assessment for the Medical Wearable Devices: Validation Study,3.0,32.78,1.0,15.26
891,Internet memes we live by (and die by),6.0,19.09,0.0,15.29
892,CAUDHT: Decentralized Contact Tracing Using a DHT and Blind Signatures,3.0,36.09,5.0,15.22
893,Disruptive Engineering and Education in Emerging Economies: Challenges and Prospects,6.0,29.07,0.0,21.5
894,Engineering Students' Virtual Learning Challenges during COVID-19 Pandemic Lockdown: A Case Study,0.0,30.52,3.0,19.08
895,Supporting departmental innovation in eLearning during COVID-19 through eLearning champions,0.0,50.34,6.0,16.08
896,Preparing 5.0 Engineering Students for an Unpredictable Post-COVID World,0.0,36.11,6.0,19.21
897,Flexible Learning during Educational Disruption: A Case Study of Teaching Integrated Circuits Design,0.0,45.32,6.0,12.72
898,"Engineering student experiences of a remotely accessed, online learning environment",0.0,45.65,6.0,12.26
899,Engineering Student Attitudes to E-Reading in Remote Teaching Environments,0.0,40.04,6.0,28.99
900,Understanding the role that non-academic factors play on students' experience during the COVID-19 pandemic,0.0,26.81,6.0,21.32
901,Performance testing on the shopee website in the pandemic period of COVID-19,5.0,22.39,6.0,19.51
902,Deep learning approach for dermototis identification,3.0,29.27,1.0,19.18
903,E-parakh: Unsupervised online examination system,3.0,26.12,2.0,15.52
904,A Multi-Model Based Ensembling Approach to Detect COVID-19 from Chest X-Ray Images,1.0,55.85,5.0,11.37
905,ResCovNet: A Deep Learning-Based Architecture for COVID-19 Detection from Chest CT Scan Images,1.0,52.06,5.0,8.68
906,Transfer Learning Based Method for COVID-19 Detection from Chest X-ray Images,1.0,59.69,4.0,10.52
907,Paradigm shift in public warning systems: A two-tier approach towards broadcasting,3.0,28.22,1.0,16.8
908,Cachorr@404: Peer-instruction practices during quarantine times,0.0,40.92,6.0,14.4
909,COVID-19 Transmission during a Tsunami Evacuation in a Lockdown City,4.0,48.71,2.0,15.7
910,Learning tax regulations through rules-based chatbots using decision trees: A case study at the time of COVID-19,0.0,28.32,5.0,19.99
911,The Impact of COVID-19 Confinement on Regional Mobility of Spatial-Temporal Social Networks,5.0,23.66,4.0,22.69
912,Bridging Predictive Analytics and Mobile Crowdsensing for Future Risk Maps of Communities against COVID-19,3.0,22.18,5.0,19.32
913,DigitalPPE: Low cost wearable that acts as a social distancingreminder and contact tracer: Poster abstract,3.0,32.62,4.0,14.31
914,Physical distance monitoring system for COVID-19 using raspberry Pi and a monocular camera: Poster abstract,3.0,29.28,2.0,16.86
915,WiFiMon: A mobility analytics platform for building occupancy monitoring and contact tracing using wifi sensing: Poster abstract,3.0,30.06,5.0,23.53
916,Impact of COVID19 lockdown on household energy consumption on two Indian cities: Poster abstract,6.0,30.38,4.0,19.85
917,Structure of psychological stress during the COVID-19 pandemic and effects of essential oil odor exposure: Poster abstract,6.0,26.19,4.0,14.72
918,Evaluation of distance learning on concentration and relax by EEG and HRV: Poster abstract,0.0,21.84,4.0,17.83
919,Simulating COVID-19 containment measures using the South Korean patient data: Poster abstract,4.0,34.86,5.0,16.16
920,COVID-19 tracer: Passive close-contacts searching through wi-fi probes: Poster abstract,3.0,27.33,2.0,15.22
921,A privacy-enabled platform for COVID-19 applications: Poster abstract,3.0,29.83,0.0,15.04
922,A nudge-based smart system for hand hygiene promotion in private organizations: Poster abstract,3.0,29.1,2.0,13.47
923,AI thermometer for temperature screening: Demo abstract,3.0,32.48,1.0,18.66
924,Poirot: Private contact summary aggregation: Poster abstract,3.0,28.33,5.0,18.49
925,Indoor air quality monitoring system for proactive control of respiratory infectious diseases: Poster abstract,3.0,32.64,4.0,22.65
926,How much does human mobility behavior affect the COVID-19 infection spread?: Poster abstract,4.0,26.58,5.0,18.01
